Latitude,Longitude,Elevation
43.69748300,-79.3521700,99.0
43.69076700,-79.3597800,83.0
43.68167200,-79.3625720,100.0
43.67673000,-79.3619780,90.0
43.66951500,-79.3574350,76.0
43.65843300,-79.3540080,78.0
43.65144300,-79.3486600,78.0
43.64915500,-79.3518700,73.0
43.64908700,-79.3574470,78.0
43.64475800,-79.3746600,82.0
43.64333200,-79.3756050,79.0
43.64082500,-79.3733770,74.0
43.64094500,-79.3734970,74.0
43.64251200,-79.3729930,77.0
43.64400800,-79.3689270,78.0
43.64576200,-79.3701400,76.0
43.64530700,-79.3733750,85.0
43.64095000,-79.3823080,76.0
43.63533700,-79.4076020,77.0
43.63143000,-79.4143480,79.0
43.63006800,-79.4249650,76.0
43.63788700,-79.4484050,79.0
43.63765800,-79.4619450,77.0
43.63368000,-79.4731550,78.0
43.62741300,-79.4825880,92.0
43.61251200,-79.5515050,112.0
43.56418700,-79.6043030,98.0
43.55295500,-79.6129620,101.0
43.54687700,-79.6232370,104.0
43.50164700,-79.6727320,154.0
43.49641700,-79.6740720,136.0
43.47610200,-79.6725780,112.0
43.46829300,-79.6764580,104.0
43.37491300,-79.7788030,118.0
43.36740700,-79.7891530,117.0
43.35993700,-79.7795120,101.0
43.35458800,-79.7851150,100.0
43.34717300,-79.7973020,98.0
43.33317500,-79.7783270,84.0
43.33171200,-79.7813980,84.0
43.33504300,-79.7889430,88.0
43.33299800,-79.7913050,91.0
43.34257300,-79.8036750,100.0
43.33005000,-79.8186250,94.0
43.32701700,-79.8266530,97.0
43.31551200,-79.8413530,100.0
43.31440500,-79.8422600,102.0
43.31324500,-79.8389420,100.0
43.30471700,-79.8500320,100.0
43.31355300,-79.8621070,119.0
43.31067000,-79.8623950,113.0
43.30489800,-79.8699220,114.0
43.29769700,-79.8818350,107.0
43.29459300,-79.8926150,116.0
43.31212800,-79.9178000,223.0
43.30475700,-79.9280770,222.0
43.28061000,-80.0670550,239.0
43.29633200,-80.1127780,246.0
43.29923000,-80.1280920,257.0
43.30391700,-80.1360470,262.0
